order_id,items_used,balance_spent,order_date
202,Lemonade (add Boba Pearls); Peach Tea (add Ice Cream); Green Honey Tea (add Ice Cream); Lemonade,24.25,2024-10-02 13:59:15
203,Black Honey Tea (add Pudding); Iced Thai Tea (add Boba Pearls); Halo Halo; Black Tea; Pearl Milk Tea,30.5,2024-10-02 14:03:45
204,Oolong Tea (add Ice Cream); Oolong Tea (add Ice Cream); Peach Tea; Fresh Matcha,23.8,2024-10-02 14:05:15
205,Black Tea (add Ice Cream); Peach Tea (add Ice Cream); Black Tea (add Honey Jelly); Black Honey Tea; Green Tea,27.8,2024-10-02 14:09:00
206,Thai Pearl Milk Tea (add Boba Pearls); Pearl Milk Tea; Iced Thai Tea; Pearl Milk Tea,25.35,2024-10-02 14:10:30
207,Lemonade; Oolong Tea; Lemonade; Thai Pearl Milk Tea,21.3,2024-10-02 14:24:00
208,Black Tea (add Honey Jelly); Oolong Tea (add Ice Cream); Pearl Milk Tea (add Boba Pearls); Fresh Matcha,23.85,2024-10-02 14:31:30
209,Green Honey Tea,4.85,2024-10-02 14:34:30
210,Coffee Crema; Fresh Matcha; Green Honey Tea; Pearl Milk Tea; Oolong Tea,28.05,2024-10-02 14:41:15
211,Pearl Milk Tea; Pearl Milk Tea; Coffee Crema; Coffee Crema,24.6,2024-10-02 14:43:30
212,Oolong Tea,4.65,2024-10-02 14:53:15
213,Coffee Milk Tea; Black Tea,10.9,2024-10-02 14:54:00
214,Tiger Boba (add Pudding); Black Honey Tea (add Ice Cream); Lemonade,18.3,2024-10-02 14:57:00
215,Black Honey Tea; Green Tea,9.5,2024-10-02 15:02:15
216,Halo Halo (add Pudding); Iced Thai Tea,14.45,2024-10-02 15:12:00
217,Iced Thai Tea; Oolong Tea; Coffee Crema,17.9,2024-10-02 15:12:45
218,Green Tea,4.65,2024-10-02 15:15:45
219,Thai Pearl Milk Tea; Lemonade; Black Tea; Coffee Crema,22.6,2024-10-02 15:16:30
220,Black Honey Tea; Thai Pearl Milk Tea; Fresh Matcha; Oolong Tea,22.0,2024-10-02 15:20:15
221,Coffee Crema (add Honey Jelly); Green Tea (add Ice Cream); Peach Tea (add Boba Pearls); Coffee Crema,26.4,2024-10-02 15:21:00
222,Pearl Milk Tea (add Honey Jelly); Coffee Crema (add Pudding); Black Tea,18.45,2024-10-02 15:23:15
223,Black Tea (add Honey Jelly); Tiger Boba,11.9,2024-10-02 15:24:00
224,Coffee Milk Tea (add Honey Jelly); Lemonade; Green Tea,16.85,2024-10-02 15:29:15
225,Iced Thai Tea (add Honey Jelly); Black Honey Tea; Pearl Milk Tea; Iced Thai Tea,24.9,2024-10-02 15:31:30
226,Iced Thai Tea (add Boba Pearls); Coffee Crema (add Ice Cream); Pearl Milk Tea; Tiger Boba,27.3,2024-10-02 15:32:15
227,Tiger Boba (add Boba Pearls); Coffee Milk Tea (add Pudding); Peach Tea; Peach Tea,26.75,2024-10-02 15:33:45
228,Pearl Milk Tea; Thai Pearl Milk Tea; Iced Thai Tea; Oolong Tea; Coffee Crema,29.95,2024-10-02 15:34:30
229,Iced Thai Tea (add Pudding); Green Tea (add Boba Pearls); Black Honey Tea; Black Honey Tea,22.6,2024-10-02 15:44:15
230,Coffee Crema (add Ice Cream); Coffee Milk Tea (add Boba Pearls); Halo Halo,21.45,2024-10-02 15:47:15
231,Peach Tea (add Pudding); Strawberry Matcha (add Ice Cream); Lemonade (add Boba Pearls); Oolong Tea; Coffee Milk Tea,31.35,2024-10-02 15:52:30
232,Pearl Milk Tea,5.8,2024-10-02 15:55:30
233,Oolong Tea; Green Tea,9.3,2024-10-02 15:59:15
234,Lemonade (add Boba Pearls); Green Tea; Iced Thai Tea; Coffee Milk Tea,23.6,2024-10-02 16:03:00
235,Black Honey Tea,4.85,2024-10-02 16:04:30
236,Strawberry Matcha (add Pudding); Green Honey Tea (add Ice Cream); Strawberry Matcha (add Ice Cream); Thai Pearl Milk Tea,26.85,2024-10-02 16:06:00
237,Coffee Milk Tea (add Pudding); Strawberry Matcha; Pearl Milk Tea; Green Honey Tea; Thai Pearl Milk Tea,30.4,2024-10-02 16:09:00
238,Lemonade (add Ice Cream); Lemonade (add Boba Pearls); Peach Tea (add Boba Pearls); Iced Thai Tea,25.9,2024-10-02 16:09:45
239,Coffee Milk Tea,6.25,2024-10-02 16:13:30
240,Pearl Milk Tea (add Honey Jelly); Thai Pearl Milk Tea,12.8,2024-10-02 16:14:15
241,Coffee Crema (add Ice Cream); Lemonade,12.7,2024-10-02 16:19:30
242,Thai Pearl Milk Tea,6.25,2024-10-02 16:21:45
243,Black Tea,4.65,2024-10-02 16:22:30
244,Black Honey Tea (add Pudding); Pearl Milk Tea,11.4,2024-10-02 16:23:15
245,Halo Halo (add Honey Jelly); Coffee Milk Tea; Tiger Boba; Thai Pearl Milk Tea,26.7,2024-10-02 16:24:45
246,Peach Tea,6.25,2024-10-02 16:25:30
247,Lemonade (add Boba Pearls); Coffee Milk Tea; Halo Halo; Strawberry Matcha,25.65,2024-10-02 16:27:45
248,Strawberry Matcha (add Honey Jelly); Green Honey Tea; Coffee Crema; Iced Thai Tea,25.35,2024-10-02 16:29:15
249,Halo Halo; Lemonade; Lemonade; Fresh Matcha; Tiger Boba,30.1,2024-10-02 16:31:30
250,Black Honey Tea (add Boba Pearls); Black Tea (add Honey Jelly); Strawberry Matcha (add Boba Pearls); Peach Tea; Green Tea,29.15,2024-10-02 16:33:45
251,Strawberry Matcha (add Ice Cream); Fresh Matcha (add Honey Jelly); Halo Halo,21.45,2024-10-02 16:35:15
252,Coffee Crema,6.5,2024-10-02 16:36:45
253,Coffee Crema (add Pudding); Thai Pearl Milk Tea,13.5,2024-10-02 16:41:15
254,Pearl Milk Tea (add Pudding); Halo Halo,13.5,2024-10-02 16:47:15
255,Pearl Milk Tea,5.8,2024-10-02 16:49:30
256,Peach Tea,6.25,2024-10-03 09:06:45
257,Iced Thai Tea (add Boba Pearls); Green Honey Tea; Black Honey Tea,17.2,2024-10-03 09:18:45
258,Thai Pearl Milk Tea; Strawberry Matcha; Strawberry Matcha; Peach Tea,25.5,2024-10-03 09:21:00
259,Green Tea,4.65,2024-10-03 09:26:15
260,Coffee Crema (add Ice Cream); Coffee Crema (add Pudding); Coffee Crema,21.25,2024-10-03 09:30:45
261,Strawberry Matcha; Strawberry Matcha; Pearl Milk Tea,18.8,2024-10-03 09:37:30
262,Coffee Crema,6.5,2024-10-03 09:40:30
263,Coffee Milk Tea (add Pudding); Iced Thai Tea; Strawberry Matcha; Halo Halo; Fresh Matcha,33.45,2024-10-03 09:42:45
